source,paper_count
Microelectronics Reliability,1146
IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,1112
IEEE Transactions on Very Large Scale Integration VLSI Systems,1040
Microelectronics Journal,861
Integration,393
ACM Transactions on Design Automation of Electronic Systems,271
Journal of Computational Electronics,263
IEEE Transactions on Semiconductor Manufacturing,236
Integration the VLSI Journal,100
Process Integration and Optimization for Sustainability,33
Journal of Industrial Information Integration,26
Iet Energy Systems Integration,18
Euro Mediterranean Journal for Environmental Integration,10
International Journal of Transport Development and Integration,6
SICE Journal of Control Measurement and System Integration,4
Journal of European Integration,3
Journal of International Migration and Integration,3
International Journal of Business Process Integration and Management,2
Journal of Economic Integration,2
Journal of Industrial Integration and Management,2
